iter	Passed	Remaining
0	3	310
1	5	267
2	7	246
3	9	224
4	11	216
5	14	234
6	17	232
7	20	231
8	22	227
9	24	223
10	27	223
11	30	223
12	32	219
13	34	214
14	37	210
15	39	207
16	41	203
17	45	206
18	47	203
19	49	199
20	52	196
21	54	193
22	58	195
23	61	193
24	63	190
25	65	186
26	67	183
27	69	179
28	72	176
29	74	174
30	77	171
31	79	168
32	81	165
33	83	162
34	85	159
35	88	156
36	90	153
37	92	151
38	94	148
39	96	145
40	99	142
41	100	138
42	103	136
43	105	133
44	107	131
45	109	128
46	111	125
47	113	123
48	115	120
49	118	118
50	120	115
51	122	113
52	124	110
53	126	108
54	128	104
55	130	102
56	133	100
57	135	98
58	138	95
59	140	93
60	142	90
61	144	88
62	146	86
63	149	83
64	151	81
65	153	79
66	155	76
67	157	74
68	159	71
69	162	69
70	164	67
71	167	64
72	169	62
73	171	60
74	173	57
75	175	55
76	178	53
77	180	50
78	182	48
79	184	46
80	186	43
81	188	41
82	192	39
83	195	37
84	197	34
85	199	32
86	202	30
87	204	27
88	207	25
89	210	23
90	212	21
91	214	18
92	216	16
93	218	13
94	221	11
95	224	9
96	226	6
97	228	4
98	230	2
99	232	0
